_id,count,avgUtilization,avgAllocation,avgExpenditure
"0","335","11.00512392293634","145305288.13886568","17306657.79035821"
"25","267","36.430730078084004","157449711.6594382","57386887.02400749"
"50","131","59.97460007490664","165991850.24755725","100163238.61557251"
"75","15","81.0141230378316","194738381.12","157600349.82133335"
